uuid,name,path,link,num_products,date_updated,products_scraped,required,emissions_condition,emissions_default,temp_controlled
46a75c30-4a1b-4e4a-8247-0e2ca32a3cfc,"Beer, wine & spirits","Price Lock>Beer, wine & spirits",https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-beer-wine-spirits,0,19/08/2021,0,1,"{'beer,can':0.69,'beer,bottle':0.96}",0.69,0
190130d9-0c2f-4bb1-82ca-e462728e55fb,Household,Price Lock>Household,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-household,0,19/08/2021,0,1,,,
e68dc06e-0ae2-4731-abbb-d5229bbed0fa,Toiletries & health,Price Lock>Toiletries & health,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-toiletries-and-health,0,19/08/2021,0,1,,,
5e002192-2e6f-4e62-8656-bf795b8c6a83,Baby & toddler,Price Lock>Baby & toddler,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-baby-toddler,0,19/08/2021,0,1,,,
864f0f15-256f-4cd1-b545-ac68252cc545,Pet,Price Lock>Pet,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-pet,0,19/08/2021,0,1,,,
fa1de6f9-f1e0-4d6d-9ae8-c82c781b7054,Meat & fish essentials,Meat & fish>Meat & fish essentials,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/meatandfish-essentials,0,19/08/2021,0,1,,,1
a1b4cd5f-312c-4c13-8594-6667f70e50ed,BBQ,Meat & fish>BBQ,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/bbq,0,19/08/2021,0,1,,,
d576129a-7270-45cc-a98c-39cdbddac3f3,Organic,Meat & fish>Organic,/shop/gb/groceries/dietary-and-lifestyle/organic-meat-fish-and-poultry,0,19/08/2021,0,1,,,
96ec7b1d-09ea-4025-95f1-03e48def9825,Just Cook & Slow Cooked,Meat & fish>Just Cook & Slow Cooked,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/ready-to-cook-314359-44,0,19/08/2021,0,1,,,
58653884-6139-4598-bfb3-10771b3271f8,Mince,Meat & fish>Mince,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/mince,0,19/08/2021,0,1,,,1
74f14f39-ce80-4bd1-a6b0-70ee3ca48462,Turkey,Meat & fish>Turkey,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/turkey-44,0,19/08/2021,0,1,,,1
